pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
443.23,-224.155,180.0,top,C63,,,CP_EIA-7360-38_Kemet-E_Pad2.25x4.25mm_HandSolder,10u,smt
447.675,-189.865,180.0,top,C64,,,CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder,100u,smt
441.96,-189.865,0.0,top,C65,,,CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder,10u,smt
225.298,-231.14,-90.0,top,C66,,,CP_EIA-7343-43_Kemet-X_Pad2.25x2.55mm_HandSolder,22u,smt
236.22,-198.755,-90.0,top,C67,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2.2n,smt
222.885,-196.85,-90.0,bottom,C68,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,47n,smt
229.743,-231.14,90.0,top,C69,,,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,10u,smt
313.055,-208.915,-90.0,bottom,C7,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100n,smt
246.253,-231.14,-90.0,top,C70,,,CP_EIA-6032-28_Kemet-C_Pad2.25x2.35mm_HandSolder,330u,smt
250.698,-231.14,-90.0,top,C71,,,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,22u,smt
310.515,-221.615,90.0,bottom,C72,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1u,smt
304.165,-215.9,0.0,bottom,C73,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,4.7u,smt
316.865,-213.36,180.0,bottom,C74,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100n,smt
310.515,-208.915,-90.0,bottom,C75,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100n,smt
400.685,-223.52,90.0,top,C8,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,56p,smt
306.705,-227.965,-90.0,top,C9,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,30p,smt
292.1,-201.295,180.0,top,D1,,,SOIC-8_3.9x4.9mm_P1.27mm,~,smt
319.405,-164.465,0.0,top,D10,,,LED_0805_2012Metric,~,smt
349.885,-164.465,0.0,top,D11,,,LED_0805_2012Metric,~,smt
380.365,-164.465,0.0,top,D12,,,LED_0805_2012Metric,~,smt
264.134,-172.72,-90.0,top,D13,,,D_SMA_Handsoldering,~,smt
258.445,-164.465,0.0,top,D14,,,LED_0805_2012Metric,~,smt
255.905,-241.3,180.0,top,D15,,,LED_0805_2012Metric,~,smt
238.125,-220.98,0.0,top,D16,,,K78xx-1000R3,~,tht
408.94,-231.14,0.0,top,D17,,,SOT-23,~,smt
424.815,-231.14,0.0,top,D18,,,SOT-23,~,smt
255.905,-220.98,180.0,top,D19,,,LED_0805_2012Metric,~,smt
283.845,-201.295,180.0,top,D2,,,SOT-23,~,smt
247.65,-164.465,0.0,top,D20,,,LED_0805_2012Metric,~,smt
369.57,-164.465,0.0,top,D21,,,LED_0805_2012Metric,~,smt
339.09,-164.465,0.0,top,D22,,,LED_0805_2012Metric,~,smt
308.61,-164.465,0.0,top,D23,,,LED_0805_2012Metric,~,smt
278.13,-164.465,0.0,top,D24,,,LED_0805_2012Metric,~,smt
431.8,-164.465,180.0,top,D25,,,LED_0805_2012Metric,~,smt
418.465,-164.465,180.0,top,D26,,,LED_0805_2012Metric,~,smt
405.13,-164.465,180.0,top,D27,,,LED_0805_2012Metric,~,smt
263.525,-199.39,180.0,top,D28,,,SOT-23,~,smt
282.575,-188.595,180.0,top,D29,,,SOT-23,~,smt
290.195,-211.455,0.0,top,D3,,,D_SOD-323_HandSoldering,~,smt
313.055,-188.595,180.0,top,D30,,,SOT-23,~,smt
343.535,-188.595,180.0,top,D31,,,SOT-23,~,smt
374.015,-188.595,180.0,top,D32,,,SOT-23,~,smt
252.095,-188.595,180.0,top,D33,,,SOT-23,~,smt
404.495,-203.835,-90.0,top,D34,,,SOIC-8_7.5x5.85mm_P1.27mm,~,smt
417.83,-203.835,-90.0,top,D35,,,SOIC-8_7.5x5.85mm_P1.27mm,~,smt
431.165,-203.835,-90.0,top,D36,,,SOIC-8_7.5x5.85mm_P1.27mm,~,smt
441.535,-203.835,90.0,top,D37,,,WRB_S-3WR2,~,tht
316.23,-203.2,-90.0,top,D38,,,LED_0805_2012Metric,~,smt
313.69,-203.2,-90.0,top,D39,,,LED_0805_2012Metric,~,smt
355.6,-172.72,-90.0,top,D4,,,D_SMA_Handsoldering,~,smt
447.675,-186.055,0.0,top,D40,,,LED_0805_2012Metric,~,smt
238.125,-231.14,0.0,top,D41,,,K78xx-1000R3,~,tht
255.905,-231.14,180.0,top,D42,,,LED_0805_2012Metric,~,smt
363.855,-231.14,0.0,top,D43,,,SOT-23,~,smt
393.065,-231.14,0.0,top,D5,,,SOT-23,~,smt
325.12,-172.72,-90.0,top,D6,,,D_SMA_Handsoldering,~,smt
294.64,-172.72,-90.0,top,D7,,,D_SMA_Handsoldering,~,smt
386.08,-172.72,-90.0,top,D8,,,D_SMA_Handsoldering,~,smt
288.925,-164.465,0.0,top,D9,,,LED_0805_2012Metric,~,smt
231.85,-194.75,-90.0,top,J1,,,Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical,~,tht
339.09,-175.335,180.0,top,J10,,,Mini-Fit_01x02_Vertical,~,tht
369.57,-175.335,180.0,top,J11,,,Mini-Fit_01x02_Vertical,~,tht
247.65,-175.335,180.0,top,J12,,,Mini-Fit_01x02_Vertical,~,tht
231.85,-179.51,-90.0,top,J13,,,Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical,~,tht
338.445,-206.37,-90.0,top,J14,,,PinHeader_2x04_P2.54mm_Vertical,~,tht
319.405,-175.335,180.0,top,J2,,,Mini-Fit_01x02_Vertical,~,tht
405.13,-175.335,180.0,top,J20,,,Mini-Fit_01x02_Vertical,~,tht
418.465,-175.335,180.0,top,J21,,,Mini-Fit_01x02_Vertical,~,tht
